Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed,wind-gust,wind-speed
10/03/2020,,0.2,15.0,58.0,11.0,7.8,49.0,97.0,1012.5,4.0,24.0,,3.0,,
10/04/2020,,4.0,19.0,78.0,6.4,8.0,37.0,86.0,1015.0,5.0,24.0,,,,2.3
10/05/2020,,0.2,25.0,74.0,2.8,11.0,39.0,60.0,1007.0,5.0,29.5,,,,2.8
10/06/2020,,0.2,24.5,74.5,8.3,11.0,39.0,65.0,1005.0,7.0,29.5,,,,3.0
10/07/2020,23.0,0.3,22.0,50.5,6.4,8.0,36.0,37.0,1000.0,2.0,33.0,,,,2.5
10/08/2020,61.0,21.0,24.5,70.0,6.4,9.0,22.0,42.0,1002.0,3.0,30.0,,,,2.3
10/09/2020,18.0,0.3,25.0,83.0,6.9,,26.0,32.0,1005.5,4.0,28.0,,,,2.8
10/10/2020,,0.1,15.0,62.0,6.0,,22.0,50.0,1015.0,6.0,22.5,,,,2.8
10/11/2020,155.0,0.3,9.5,52.0,16.0,5.7,35.0,91.0,1019.0,5.0,21.0,,,,1.8
10/12/2020,178.0,0.2,13.5,68.0,24.0,2.1,54.0,155.0,1017.0,4.0,19.0,,,,1.8
11/01/2020,117.0,0.3,19.0,77.5,8.0,3.0,46.0,74.0,1013.5,3.0,21.0,,3.6,,
11/01/2021,79.0,3.0,-3.0,35.0,10.0,4.1,29.0,91.0,1028.5,3.1,13.0,,,,3.0
11/02/2020,,0.2,,,,2.0,58.0,130.0,,4.0,,,,,
11/03/2020,,0.2,16.5,70.5,17.4,4.9,52.0,103.0,1014.0,5.0,22.0,,2.5,,
11/04/2020,,0.1,21.5,83.0,4.0,9.0,23.0,49.0,1013.5,5.0,25.0,,,,2.0
11/05/2020,,2.0,25.5,78.5,3.2,12.0,32.0,50.0,1008.0,6.0,29.0,,,,4.1
11/06/2020,,0.3,24.0,80.5,8.3,7.0,34.0,51.0,1005.0,7.0,27.0,,,,2.5
11/07/2020,23.0,0.3,22.0,58.0,7.4,7.0,40.0,59.0,1001.5,3.0,31.0,,,,2.0
11/08/2020,42.0,3.0,24.0,74.0,11.9,4.0,21.0,30.0,1001.5,4.0,28.5,,,,3.0
11/09/2020,13.0,2.0,24.5,79.0,8.3,,22.0,22.0,1005.0,5.0,28.5,,,,2.5
11/10/2020,,3.0,15.0,58.0,6.0,,21.0,65.0,1012.0,7.0,23.0,,,,3.6
11/11/2020,132.0,0.3,12.0,51.5,19.7,4.9,42.0,99.0,1020.0,5.0,22.5,,,,1.8
11/12/2020,178.0,10.0,15.0,77.0,21.1,3.0,52.0,149.0,1015.0,3.0,21.0,,,,2.0
12/01/2020,84.0,0.2,10.0,67.0,8.0,3.3,31.0,78.0,1017.5,3.0,16.5,,3.0,,
12/01/2021,98.0,0.4,-2.5,32.0,13.0,3.0,34.0,85.0,1026.5,4.0,14.5,,,,2.0
