aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind_gust_combined,wind_speed_combined
82.26940639269407,4.0,15.5,77.0,4.0,6.1,34.0,96.0,1015.5,5.0,20.0,10.984000000000002,2.0
82.26940639269407,0.3,26.0,83.0,3.2,11.0,40.0,69.0,1004.0,5.0,28.0,10.984000000000002,3.6
82.26940639269407,0.2,23.0,60.5,8.0,8.0,41.0,68.0,1001.0,7.0,32.5,10.984000000000002,2.3
26.0,2.0,25.5,70.0,6.4,10.6,27.0,37.0,1005.0,2.0,31.0,9.7,4.1
35.0,0.3,24.5,85.5,4.2,5.7,16.0,30.0,1006.0,4.0,27.0,10.984000000000002,2.8
4.0,0.2,23.0,83.0,7.8,6.215806451612903,10.0,31.0,1005.0,5.0,26.5,10.984000000000002,1.5
82.26940639269407,0.1,18.0,68.0,8.769354838709678,6.215806451612903,15.0,27.0,1014.5,6.0,24.0,10.984000000000002,4.1
149.0,0.3,16.0,57.0,11.0,4.0,26.0,72.0,1019.0,2.0,24.0,10.984000000000002,2.0
167.0,7.0,11.5,61.0,17.4,5.0,50.0,150.0,1021.5,4.0,18.0,10.984000000000002,3.0
124.0,0.4,19.0,78.0,11.0,3.3,50.0,91.0,1016.0,3.0,22.0,10.984000000000002,3.3
56.0,7.0,0.5,49.0,4.6,4.5,12.0,50.0,1025.5,2.0,11.0,10.984000000000002,4.8
82.26940639269407,0.2,16.0,82.0,8.769354838709678,2.0,32.0,80.0,1021.5,4.0,17.5,10.984000000000002,3.8
82.26940639269407,0.2,21.0,85.5,12.0,7.0,45.0,89.0,1005.5,3.0,24.0,10.984000000000002,2.3
82.26940639269407,6.0,18.0,85.0,7.4,5.0,50.0,114.0,1015.5,5.0,20.0,10.984000000000002,1.2
82.26940639269407,0.3,25.5,81.0,3.2,11.0,38.0,54.0,1004.0,5.0,27.5,19.0,3.6
82.26940639269407,0.2,22.0,49.0,7.8,6.5,30.0,55.0,1000.0,7.0,33.5,10.984000000000002,3.0
20.0,2.0,24.0,62.0,6.9,8.6,26.0,33.0,1003.5,2.0,32.0,10.984000000000002,3.0
25.0,21.0,25.0,74.0,4.0,5.3,18.0,44.0,1005.0,4.0,29.0,10.984000000000002,2.8
38.0,0.3,24.0,80.5,11.5,6.215806451612903,37.0,59.0,1008.0,5.0,27.5,10.984000000000002,1.8
82.26940639269407,0.1,16.0,60.5,5.1,6.215806451612903,20.0,40.0,1015.5,7.0,23.5,10.984000000000002,4.8
89.0,0.2,14.0,50.0,11.0,5.7,22.0,80.0,1019.0,2.6,24.5,10.984000000000002,2.5
157.0,7.0,11.0,63.0,16.0,4.0,38.0,112.0,1021.5,3.0,18.0,10.984000000000002,2.3
134.0,0.3,19.0,78.0,13.8,3.0,49.0,89.0,1015.0,3.0,23.0,10.984000000000002,3.0
55.0,4.0,-2.5,37.0,6.4,5.0,21.0,52.0,1025.5,3.0,10.5,10.984000000000002,3.0
82.26940639269407,4.0,12.0,87.0,8.769354838709678,2.1,16.0,55.0,1025.5,3.0,14.0,10.984000000000002,4.1
82.26940639269407,0.2,21.0,73.0,11.0,13.0,57.0,147.0,1003.5,3.0,26.5,10.984000000000002,2.0
82.26940639269407,0.2,18.0,78.0,7.0,11.0,45.0,153.0,1016.5,6.0,23.0,10.984000000000002,1.8
82.26940639269407,0.3,25.0,76.5,3.0,9.8,39.0,78.0,1006.5,5.0,27.0,10.984000000000002,2.3
